endTime,artistName,trackName,msPlayed
2022-10-15 16:05,Adekunle Gold,Win,182000
2022-10-15 16:06,Adekunle Gold,Catch Me If You Can,47505
2022-10-15 16:07,Nana Fofie,Peru Mashup,15231
2022-10-15 16:10,Omah Lay,Understand,174545
2022-10-15 16:12,Cuppy,Jollof On The Jet,143560
2022-10-15 16:16,Ya Levis,Chocolat,221213
2022-10-15 16:17,melvitto,Santorini Coffee,62712
2022-10-15 16:19,DJ Khaled,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",131626
2022-10-15 16:23,Nicki Minaj,High School,218746
2022-10-15 16:28,Lil Wayne,Mrs. Officer,286906
2022-10-15 16:29,SiR,Ooh Nah Nah (feat. Masego),3242
2022-10-15 16:33,Lojay,LV N ATTN feat. Wizkid,213913
2022-10-15 16:35,Adekunle Gold,Sinner,174117
2022-10-15 16:39,Boj,Magic,191179
2022-10-15 16:42,StarBoy,Electric (feat. Wizkid & London),178775
2022-10-15 16:45,Adekunle Gold,Kelegbe Megbe (Know your level),176652
2022-10-15 16:48,Sabrina Claudio,Belong to You (feat. 6LACK),185617
2022-10-15 16:52,SiR,Ooh Nah Nah (feat. Masego),240000
2022-10-15 16:55,Tiwa Savage,Attention,205453
2022-10-15 16:59,Reekado Banks,Ozumba Mbadiwe - Remix,211636
2022-10-15 17:02,Skillibeng,Shake - Remix,209544
2022-10-15 17:05,Boj,Your Love - Mogbe,160000
2022-10-15 17:09,Queen Naija,Set Him Up (feat. Ari Lennox),222269
2022-10-15 17:12,Dave,Lazarus (feat. Boj),204373
2022-10-15 17:16,Sarz,TROBUL,242026
2022-10-15 17:20,Olamide,KANA,207378
2022-10-15 17:23,Amaarae,JUMPING SHIP,201636
2022-10-15 17:27,Larry Gaaga,Low,233012
2022-10-15 17:31,Show Dem Camp,Do Me Nice,257684
2022-10-15 17:34,Skepta,Energy (Stay Far Away),199521
2022-10-15 17:36,TT_MED,Gyal Gimme,74001
2022-10-15 17:38,Boj,See Me - A COLORS SHOW,143999
2022-10-15 17:41,DJ Tunez,Differently,180012
2022-10-15 17:46,Ari Lennox,Chicago Boy,288659
2022-10-15 17:49,AMARIA BB,Slow Motion,166000
2022-10-15 17:51,melvitto,Santorini Coffee,134365
2022-10-15 17:55,Wizkid,Sweet One,250720
2022-10-15 17:59,melvitto,Wait For You (feat. Oxlade),254315
2022-10-15 18:02,Shenseea,Foreplay,166159
2022-10-15 18:05,Wizkid,Anoti,181360
2022-10-15 18:08,Pheelz,Finesse,151764
2022-10-15 18:14,Kabza De Small,Sponono,395044
2022-10-15 18:18,Ari Lennox,Shea Butter Baby (with J. Cole),211610
2022-10-15 18:21,Rema,Soundgasm,204198
2022-10-15 18:24,H.E.R.,Say It Again,172240
2022-10-15 18:28,Rema,Ginger Me,205892
2022-10-15 18:31,Wizkid,No Stress,202640
2022-10-15 18:33,Chris Brown,Call Me Every Day (feat. Wizkid),146840
2022-10-15 18:37,Djwalz,Today,187935
2022-10-15 18:40,Adekunle Gold,FYE,210000
2022-10-15 18:43,Adekunle Gold,Win,182000
2022-10-15 18:45,Adekunle Gold,It Is What It Is,100226
2022-10-15 18:49,Davido,Fall,240000
2022-10-15 18:52,Pheelz,Electricity,132912
2022-10-15 18:53,Asake,Terminator,68010
2022-10-15 18:56,Oxlade,KU LO SA - A COLORS SHOW,147580
2022-10-15 18:56,Asake,Dull,10815
2022-10-15 18:59,Chris Brown,Under The Influence,184613
2022-10-15 19:06,Ciara,Body Party,234040
2022-10-15 19:09,Rema,Soundgasm,204198
2022-10-15 19:13,Rema,Ginger Me,205892
2022-10-15 19:16,Lojay,LV N ATTN feat. Wizkid,213913
2022-10-15 19:19,StarBoy,Electric (feat. Wizkid & London),178775
2022-10-15 19:22,Wizkid,No Stress,202640
2022-10-15 19:27,Wizkid,Sweet One,250720
2022-10-15 19:31,Wizkid,Essence (feat. Tems),248040
2022-10-15 19:34,Adekunle Gold,Something Different,175987
2022-10-15 19:36,DJ Frass,Good Comfort,134400
2022-10-15 19:39,Skillibeng,Shake - Remix,209544
2022-10-15 19:42,Shenseea,Foreplay,166159
2022-10-15 19:45,AMARIA BB,Slow Motion,166000
2022-10-15 19:48,Boj,Your Love - Mogbe,160000
2022-10-15 19:49,TT_MED,Gyal Gimme,74001
2022-10-15 19:53,Queen Naija,Set Him Up (feat. Ari Lennox),222269
2022-10-15 19:56,H.E.R.,Say It Again,172240
2022-10-15 19:59,Snoh Aalegra,Whoa,199179
2022-10-15 20:04,Ari Lennox,Chicago Boy,288659
2022-10-16 02:25,SiR,Ooh Nah Nah (feat. Masego),173064
2022-10-16 02:26,Rema,Ginger Me,23978
2022-10-16 02:29,Ayra Starr,Rush,185093
2022-10-16 02:31,Asake,Dull,100173
2022-10-16 02:35,Tems,Mr Rebel,236382
2022-10-16 02:38,Mavins,Overloading (OVERDOSE),205000
2022-10-16 02:40,Victony,Soweto,148000
2022-10-16 02:44,Vector,Early Momo,193000
2022-10-16 02:47,Ajebutter22,King of Parole,196529
2022-10-16 02:50,Asake,Terminator,155897
2022-10-16 02:52,Chris Brown,Call Me Every Day (feat. Wizkid),146840
2022-10-16 02:55,John Legend,Wonder Woman,168562
2022-10-16 03:05,Babyboy AV,Confession,13298
2022-10-16 03:05,Tems,The Key,166153
2022-10-16 13:02,Ayra Starr,Rush,185093
2022-10-16 13:03,Asake,Dull,100173
2022-10-16 13:06,Victony,Soweto,144126
2022-10-16 13:08,L.A.X,Sempe - Acoustic,98000
2022-10-16 13:11,Mavins,Overloading (OVERDOSE),205000
2022-10-16 13:14,Ayra Starr,Bloody Samaritan (with Kelly Rowland) - Remix,189000
2022-10-16 13:18,Tems,Mr Rebel,236382
2022-10-16 13:21,Asake,Terminator,155897
2022-10-16 13:24,Lojay,Monalisa,213991
2022-10-16 13:28,Vector,Early Momo,193000
2022-10-16 13:54,Victony,All Power,88003
2022-10-16 16:01,Thomas Prime,Kanari,32213
2022-10-16 16:02,David Benoit,You Read My Mind,15488
2022-10-17 08:22,Jesus Culture,Holy Spirit - Live,489453
2022-10-17 08:30,Jesus Culture,Break Every Chain - Live,487506
2022-10-17 09:01,Jesus Culture,Your Love Never Fails - Live,12810
2022-10-17 09:01,Jesus Culture,Set A Fire - Live,315253
2022-10-17 09:01,Jesus Culture,Freedom - Live,11950
2022-10-17 09:07,Jesus Culture,Fierce - Studio Version,222186
2022-10-17 09:11,Jesus Culture,In The River - Live,277173
2022-10-17 09:16,Jesus Culture,Love Has A Name - Studio Version,263878
2022-10-17 09:22,Jesus Culture,Cantamos A Él,382026
2022-10-17 10:20,Jesus Culture,Miracles - Live,90025
2022-10-17 10:22,Tracy Chapman,Fast Car,114790
2022-10-17 10:27,Passenger,Let Her Go,252733
2022-10-17 10:34,Jubilee Worship,Atmosphere Shift,358870
2022-10-17 10:42,Jubilee Worship,No Bondage,472534
2022-10-17 10:48,Jubilee Worship,The Lord's Prayer,411128
2022-10-17 10:55,Jubilee Worship,Empty Grave,413497
2022-10-17 11:01,Jubilee Worship,Redeeming the Years,365942
2022-10-17 11:09,Jubilee Worship,STILL SLAYING GIANTS,426283
2022-10-17 11:16,Jubilee Worship,Hero,464562
2022-10-17 11:25,Jubilee Worship,Casted Crowns,543533
2022-10-17 11:31,Jubilee Worship,Bliss,361692
2022-10-17 11:37,Jubilee Worship,That's Who You Are,336802
2022-10-17 11:39,Jubilee Worship,God Of The Promise,137229
2022-10-17 13:19,Jubilee Worship,God Of The Promise,24890
2022-10-18 10:56,Adekunle Gold,Born Again,111500
2022-10-18 10:59,Adekunle Gold,Win,182000
2022-10-18 11:02,Adekunle Gold,It Is What It Is,174587
2022-10-18 11:05,Adekunle Gold,More Than Enough,188000
2022-10-18 11:09,Adekunle Gold,FYE,210000
2022-10-18 11:11,Adekunle Gold,One Woman,95672
2022-10-18 11:24,Joeboy,Sip (Alcohol),158400
2022-10-18 11:28,LADIPOE,Running,214615
2022-10-18 11:32,DJ Tarico,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,214408
2022-10-18 11:36,Rema,Woman,238911
